name,flavors,race,positive,negative,medical,Rating,Description
Chemo,"Earthy, Pungent, Woody, Pine",indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Insomnia, Pain, Stress, Lack of Appetite, Nausea, Headache",4.4,"Rumor has it that Chemo’s beginnings stretch back to the 1970s in Canada where this heavy indica was allegedly developed to treat the side effects of chemotherapy. Another name for this strain is “UBC Chemo” in reference to the university in which Chemo is said to have been conceived. Chemo’s genetics is carried on by Jordan of the Islands, whose rendition is best known for its subtle woody aroma and potent medicinal effects perfect for patients treating nausea, appetite loss, pain, and sleeplessness. "
Chernobyl,"Citrus, Lime, Lemon",hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",4.4,"Chernobyl is a sativa-dominant hybrid strain that carries a unique lime sherbet smell. Originally bred by TGA Genetics, this citrusy strain descends from Trainwreck, Jack the Ripper, and Trinity. Expect dreamy, long-lasting cerebral effects that will float you to a happy mood and relaxed mindsets. "
Chiesel,"Cheese, Diesel, Pungent",hybrid,"Relaxed, Happy, Creative, Uplifted, Focused, Euphoric","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Fatigue, Headaches",4.4,"Big Buddha Cheese and NYC Diesel come together to form the Chiesel cannabis variety. Strong smell is to be expected considering its lineage, and Chiesel provides a euphoric and functional stone. Chiesel has been known to produce a very high yield under optimum conditions."
Chloe,"Sweet, Earthy, Spicy/Herbal",hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted, Talkative, Focused",Dry Eyes,"Depression, Insomnia, Pain, Inflammation, Muscle Spasms",4.9,"Chloe is a powerful and mysterious sativa-dominant hybrid created by Chris Wren of Medizin, Las Vegas. This strain won 1st place at the International Cannagraphic Magazine Cup in 2015 and has since gone on to accrue local renown and praise for its incredible medicinal qualities. Even though this strain leans 60/40 sativa-dominant, it possesses potency and physical sedation that can lull the most experienced person to sleep with continued consumption. Chloe is also a welcome companion for patients seeking relief from a wide variety of ailments, including loss of appetite and chronic pain.     "
Chocolope,"Coffee, Earthy, Sweet",sativa,"Euphoric, Happy, Creative, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Muscle Spasms",4.3,"DNA Genetics developed Chocolope by crossing Chocolate Thai with Cannalope Haze to create their homage to the Chocolate strains of the 1980s. The hefty sativa buds give earthy, sweet coffee flavors that provide a dreamy, cerebral effect. Consumers report a strong, euphoric mental shift that is great when coping with depression or stress."
Chronic,"Skunk, Woody, Pungent, Spicy/Herbal, Sweet",hybrid,"Happy, Energetic, Talkative, Uplifted, Giggly, Relaxed, Euphoric","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite",4.4,"The word 'chronic' has become a commonplace descriptor of high-quality marijuana, but this Chronic is a balanced hybrid cross between Northern Lights, Skunk, and AK-47 originally bred by Serious Seeds in 1994. The AK-47 was later introduced to the genetic mix to increase its resin content and effect complexity without diminishing yields. Sweet honey, flower, and spice color the aroma of this renowned hybrid, but take extra care during the drying process: its delicate scent is easily lost. Chronic forms massive colas with very few leaves, so topping this high-yielder isn't advisable. "
Chupacabra,"Earthy, Vanilla, Nutty, Sweet",hybrid,"Relaxed, Happy, Energetic, Uplifted, Focused",,"Depression, Pain, Stress, Nausea, Headaches",4.8,"Chupacabra looks like a sativa and acts like an indica. With tall, bright green buds that fray into even brighter orange hairs, this wild strain reeks of its Golden Goat heritage. This strain, bred by Colorado Seed Inc., brings together Hawaiian Romulan’s mental stylings with Island Sweet Skunk’s brilliant tropical aroma, and is finally anchored by Gupta Kush. This 50/50 hybrid will leave your mind sizzling as you nestle into your favorite piece of furniture."
Cinex,"Citrus, Earthy, Sweet",sativa,"Euphoric, Happy, Energetic, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Fatigue, Headaches",4.3,"Cinex, a hybrid of parents Cinderella 99 and Vortex, has a mixture of flavors ranging from sweet citrus to earthy skunk. The effects are clear-headed and uplifting, perfect for building a positive mindset and stimulating creative energy. Consumers enjoy Cinex for its ability to suppress pain and depression."
Cirrus,"Diesel, Menthol, Pungent, Grape",sativa,"Euphoric, Creative, Talkative, Giggly, Uplifted, Happy",Dry Mouth,"Depression, Nausea, Fatigue, Headaches, Inflammation",5.0,"Cirrus by Oregon Cannabis Authority is a high-potency Candyland phenotype. This heady sativa-dominant strain has been known to achieve a THC percentage north of 26% and emits ripe, fuel-like overtones underpinned by musky earth. Cirrus’s buds are decorated in golden hairs and glittering trichomes, exhibiting hints of purple that speak to the strain’s Granddaddy Purple lineage. Anticipate a relaxed body buzz that helps center and focus the mind while reducing pain and gently enhancing mood. Its clear-headed buzz and kind physical effects make it an ideal companion throughout the day in the right dosage.   "
Citrix,"Citrus, Grapefruit, Orange, Lemon",hybrid,"Euphoric, Happy, Energetic, Uplifted, Aroused, Relaxed","Dry Mouth, Paranoid, Anxious","Depression, Stress, Lack of Appetite, Nausea, Fatigue",4.3,"Citrix is a hybrid cannabis strain that draws its genetics from a flavorful Grapefruit mother and a resinous LA Confidential male. Named for its intense orange aroma, Citrix entices the senses before drawing you into its active, clear-headed euphoria. If Citrix makes it into your garden, the telltale signs of a good phenotype include a pungent aroma, disease resistance, heavy yields, rapid vegetative growth, and a dense bud structure."
Clementine,"Citrus, Orange, Sweet",sativa,"Relaxed, Euphoric, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",4.3,"Clementine is a sweet, citrus flavored sativa hybrid that combines Tangie with Lemon Skunk genetics. The concentrated live resin of Clementine from Crocket Family Farms took home 2nd Place for the Best Sativa Concentrate at the 2015 Cannabis Cup in Michigan."
Cornbread,"Lemon, Citrus, Earthy, Woody",indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite",4.6,"Cornbread by Rare Dankness is an 80/20 indica-dominant hybrid strain that crosses Katsu Bubba Kush and Rare Dankness #2. Its aroma is a sweet mix of lemons and incense, and like a perfect appetizer, Cornbread is all you’ll need to invite the appetite before dinner. With heavy, tranquilizing effects that relax the body, Cornbread also makes a great nightcap as you transition into sleep."
Crosswalker,"Blueberry, Pine, Earthy, Sweet",indica,"Relaxed, Euphoric, Happy, Uplifted, Creative",Dry Eyes,"Depression, Pain, Nausea, Eye Pressure, Inflammation",4.4,"Crosswalker is a 70/30 indica-dominant cannabis strain that crosses Skywalker OG and Blueberry. When consumed, you will notice an earthy, sweet, and citrus undertone that lingers in your mouth. You’ll be left with a happy and euphoric feeling, but be careful consuming too much of this strain at once, as you may be on the couch longer than you would have expected."
Crypt,"Sweet, Cheese, Lemon, Pungent",hybrid,"Relaxed, Euphoric, Happy, Focused, Giggly, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Fatigue, Headaches",4.4,"Crypt from Northern California is an indica-dominant hybrid with a mysterious lineage. Its aroma falls on the border between sweet and sour, blending pine, lemon, and cheese flavors."
Crystalberry,"Sweet, Berry, Blueberry, Grape",indica,"Relaxed, Hungry, Sleepy, Giggly, Aroused, Uplifted, Happy",Dry Eyes,"Insomnia, Pain, Stress, Nausea, Headaches",4.5,"Crystalberry is an indica-dominant cannabis strain crossed using two popular and well-loved strains, Sensi Star and DJ Short’s Blueberry. Your senses will instantly notice the notes of sweet blueberry and lemon throughout. The effects are led by a long-lasting euphoric buzz followed by full-body relaxation help you manage pain and tension."
Cuvee,"Citrus, Flowery, Sweet, Earthy, Grape, Berry",indica,"Relaxed, Euphoric, Happy, Creative, Uplifted, Giggly, Tingly",Anxious,"Depression, Pain, Stress, Cramps, Headaches",4.5,"A collaboration from TGA Genetics and Aficionado Seeds, Cuvee was created crossing Space Queen and the clone-only Pinot Noir. This hybrid plant will hit you fast with a relaxing body high while you taste sweet cherries and chocolate. Rich flavor paired with copious amounts of resin makes Cuvee a great strain for making cannabis concentrates."
Damnesia,"Pepper, Spicy/Herbal, Earthy",hybrid,"Relaxed, Happy, Energetic, Talkative, Uplifted, Euphoric","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Fatigue",4.2,"A spin-off of the Amsterdam staple Amnesia Haze, Strain Hunters Seeds has crossed the Haze with another coffee shop powerhouse, AMS, to create a long-lasting hybrid. Damnesia has a pungent scent of spicy incense and black pepper. The strong cerebral effects are great for socializing and activating your creative juices but they can creep up slowly. Many search for this strain when looking for an uplifting, energetic solution to pain issues or when suffering from a lack of appetite."
Dancehall,"Earthy, Sweet, Spicy/Herbal, Citrus, Flowery",hybrid,"Relaxed, Happy, Creative, Uplifted, Focused, Energetic","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Cramps, Inflammation",4.6,"Dancehall, a 60/40 sativa-dominant hybrid, was bred by Reggae Seeds by combining Juanita La Lagrimosa (a Mexican-Afghani-Spanish hybrid) with Kalijah (Blue Heaven crossed with a Mexican-Afghani hybrid). Named after a style of Reggae played in times of celebration, Dancehall will lift your spirits to a happier place where creativity and social bonding thrive. As its flowers mature, vibrant shades of green, blue, purple, and red twist underneath its crystal trichomes while aromas both sweet and spicy dance from cracked buds. "
Deadwood,"Berry, Earthy, Lavender",indica,"Relaxed, Creative, Sleepy, Focused, Happy, Talkative, Uplifted, Giggly",Dry Mouth,"Pain, Stress, Muscle Spasms",3.9,"Deadwood is potent indica cross between Bubba Kush and Sweet Pink Grapefruit. These robust indica strains come together to create good medicine for those suffering from insomnia, anxiety, and chronic pain. The aroma is sweet and skunky with spicy notes on the finish. Use Deadwood in the evening, as its effects will ground all future plans. Expect heavy sedation, weight on the eyelids and muscles, and a stone-solid buzz.   "
Destroyer,"Lavender, Flowery, Sweet, Ammonia",sativa,"Euphoric, Happy, Energetic, Uplifted, Giggly",,"Depression, Insomnia, Stress, Cramps, Fatigue",4.9,"Destroyer by CannaBiogen is a 100% sativa and CBG powerhouse created over seven years of breeding. Destroyer is the offspring of Meao Thai and a Mexican/Colombian cross, and emits a delicate fruity aroma intermixed with notes of lavender and floral sweetness. This high-THC strain develops beautiful frosted buds that offer consumers powerful psychoactive effects coupled with vigorous alertness. Enjoy this potent, nuanced sativa one hit at a time, as its THC content is designed for seasoned consumers. "
Diablo,"Earthy, Spicy/Herbal, Pungent, Sweet",indica,"Relaxed, Euphoric, Happy, Tingly, Sleepy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache",4.1,"With lineage from Grapefruit, Blueberry and South African Sativa, there is a sweet flavor to the Diablo cannabis strain. This indica has a purple hue, fruity and spicy flavors, and a THC content that tends to fall between 15-20%. Diablo has an indoor flowering time of 6-7 weeks and took second place at the 2002 BC Harvest Cup in the outdoor category."
Dieseltonic,"Diesel, Earthy, Woody",hybrid,"Relaxed, Sleepy, Focused, Giggly, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Headaches, Inflammation",4.1,"Bred by Resin Seeds in Spain, Dieseltonic is a high-CBD hybrid cross between NYC Diesel and Cannatonic. With an equal THC and CBD content, Dieseltonic is a therapeutic variety used to treat mood disorders, pain, inflammation, spasms, and many other symptoms. Dieseltonic is energizing and uplifting with a sweet orange aroma. Its resistance to mildew and fungus makes Dieseltonic a great choice for novice growers, who can expect an 8 to 9 week flowering time indoors or an October outdoor harvest."
Digweed,"Earthy, Skunk, Pungent, Spicy/Herbal",indica,"Relaxed, Happy, Creative, Uplifted, Sleepy, Giggly","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Cramps, Inflammation",3.9,"Digweed is an indica-dominant strain that was named after a cat with a sweet tooth for cannabis plants. This high-CBD cross between Afghani and Sweet Tooth has a fruity, floral aroma and is often chosen by patients treating chronic pain, stress, and muscle spasms."
Dinachem,"Diesel, Pungent, Tropical, Earthy",hybrid,"Relaxed, Euphoric, Energetic, Talkative, Uplifted, Happy, Giggly",,"Depression, Stress",4.7,"Dinachem by Dinafem Seeds is an especially potent cross of Guava Chem and the Original Chemdawg ‘91 from Chemdog’s own genetics. This strain enhances and preserves the potency and quality of Chemdog’s original strain while infusing fruit and floral nuances into the oily, woody aroma inherent to the strain. With natural pest and moisture resistance, Dinachem offers novice growers a hearty piece of cannabis history with a large yield and an average THC content of 18-23%. Dinachem won 1st prize for “Best Indica” at Cannazores Cup in 2016 and 2nd prize for “Best Indica” at IC420 Growers Cup in 2015.   "
Django,"Earthy, Sweet, Pungent, Flowery",sativa,"Euphoric, Happy, Energetic, Talkative, Uplifted","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Fatigue, Muscle Spasms",4.6,"Django means “I awake,” in Romani, and this upbeat sativa will have you saying just that. Active and light, this strain’s effects might not be great for those looking for pain relief or strong relaxation. But if you want to lift your mood without losing energy, Django is just the thing. "
Do-Si-Dos,"Earthy, Sweet, Pungent",indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite",4.8,"Do-Si-Dos is an indica-dominant hybrid with qualities similar to its parent, Girl Scout Cookies. With glittering trichomes, bright pistils, and lime green and lavender leaves, this strain is a feast for eyes. Its aroma is pungent, sweet, and earthy with slight floral funkiness. These classic OG aromas blend nicely with medical-grade body effects that lean toward the sedative side with the addition of Face Off OG genetics. Enjoy a stoney, in-your-face buzz off the start that melts down over the body, prettifying the consumer with relaxation that emanates outward. "
Donegal,"Earthy, Woody, Pungent",hybrid,"Relaxed, Euphoric, Energetic, Talkative, Sleepy",Anxious,"Depression, Insomnia, Stress, Fatigue",3.8,Donegal is a variety of Chemdawg grown by Canadian LP Tweed. It is a sativa-dominant hybrid that is potent but will still allow you to maintain your typical routine. The flavors of Donegal are a mix of citrus and pungent diesel notes that give way to the heady effects that are first felt around the crown of your head and provide an uplifted mood and a rush of creativity.
Doox,"Citrus, Lemon, Lime, Sweet",sativa,"Euphoric, Happy, Energetic, Uplifted, Focused, Tingly",Dry Mouth,"Depression, Pain, Stress, Inflammation, Muscle Spasms",4.4,"Doox is a sativa-dominant hybrid strain bred from Purple Cow and the legendary hybrid Chemdawg. The effects will set in quickly, delivering an intense body buzz coupled with dreamy euphoria. Doox flowers typically bloom in pale pastel greens masked by a dense coat of frosty resin. Pungent and skunky, this strain is sure to fill the room with its strong sour aroma. "
Dopium,"Pine, Pungent, Earthy",hybrid,"Relaxed, Euphoric, Happy, Uplifted, Focused, Energetic","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Headache, Headaches",4.5,"Dopium, a cross between ChemDawg and Sour Diesel, has a unique scent while keeping elements of that classic Sour Diesel smell. Described as delivering relaxing and mellow effects, Dopium has the sharp spice of diesel with floral hints."
Dorit,"Cheese, Earthy, Minty, Ammonia, Spicy/Herbal",indica,"Relaxed, Euphoric, Uplifted, Focused, Giggly, Tingly, Sleepy",Dry Eyes,"Pain, Stress, Inflammation",4.4,"Dorit is a 70/30 indica-dominant strain tailored for patients treating pain, inflammation, indigestion, appetite loss, nausea, and sleep disorders. Bred in Israel by Tikun Olam, this strain inherits its name from Dorit Cohen, who helped found the company. "
Dreadlock,"Earthy, Diesel, Pine, Sage",hybrid,"Relaxed, Happy, Creative, Energetic, Focused, Talkative, Tingly, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress",4.0,"Dreadlock, hailing from Canada, is a 50/50 hybrid with energizing effects that carry social interactions to a new level. Patients and consumers chasing strains with mood-elevating properties stop their search at Dreadlock, a name derived from its dense, nappy buds. It produces heavy yields of sweet, musky flowers blanketed in crystal trichomes. A good strain for novice growers, Dreadlock plants are hardy and resilient when it comes to mold. Joint Doctor Seeds, the strain’s original growers, recommend indoor soil gardens and the “screen of green” method. A full 9 weeks for flowering is suggested with Dreadlock, as it tends to gain a lot of weight and THC in its final mile."
Drizella,"Earthy, Pungent, Sweet",sativa,"Euphoric, Happy, Energetic, Uplifted, Giggly",,"Depression, Stress, Cramps, Fatigue, Headaches",4.8,"Drizella is a sativa bred by Dynasty Seeds that crosses Cinderella 99, White Widow, and Space Queen. These resinous buds offer a tropical aroma, with notes of pineapple, citrus, and vanilla, delivering clear, stimulating cerebral effects that are long-lasting. This stable strain can be grown both indoors and outdoors, with a flowering time around 60 days."
Dutchberry,"Berry, Sweet, Earthy, Orange",hybrid,"Relaxed, Euphoric, Happy, Uplifted, Giggly, Energetic, Creative","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headaches",4.5,"Dutchberry is a 60/40 sativa-dominant hybrid strain from Artizen Cannabis in Lacey, WA. Combining Dutch Treat and DJ Short’s Blueberry, this hybrid is loaded with citrus and berry flavors that taste as good as it smells. With a chemical profile that falls around 27% THC and 8% CBD, Dutchberry has one of the highest cannabinoid contents available in the marketplace today. The high CBD content helps modify the extreme THC content to produce a happy, giggly high perfect for unwinding after a long day at work."
Dynamite,"Citrus, Grapefruit, Earthy",indica,"Relaxed, Hungry, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Cramps, Headache, Inflammation",4.4,"Dynamite is a short and bushy indica strain that offers an aroma of sweet grapefruit and mixed fruit. Heavy physical effects weigh down the limbs and relax muscles, but Dynamite provides the mind with an invigorating spark to fuel creativity and conversation. The subtle, sweet aroma of grapefruit and mixed fruit breaks free from the bud when ground up. A quick finisher, Dynamite completes its flowering cycle in 7 to 8 weeks, yielding a heavy harvest of buds that may bloom in stunning hues of purple and pink."
Edelweiss,"Sweet, Berry, Lime, Earthy",indica,"Relaxed, Hungry, Happy, Sleepy, Creative","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Headache, Fatigue",4.1,"Edelweiss (literally ‘noble white’) was named after the famous white flower that grows in the high Swiss Alps. Both plants share qualities such as the star-shaped leaflets around the flower tops and the thick white coating on the leaves. Made from a blend of Hindu Kush, North Indian and Skunk, this is a mostly indica hybrid with just enough sativa background to perk up the powerful stone."
El-Na,"Earthy, Pine, Pungent",hybrid,"Relaxed, Happy, Tingly, Aroused",,"Insomnia, Cramps, Headaches, Inflammation, Muscle Spasms",5.0,"El-Na, an Israeli strain bred by Tikun Olam, is a 50/50 hybrid intended for treatment of chronic pain and nausea. Its balanced genetics provide medical marijuana patients with stress relief and an elevated mood. El-Na is a mild-strength option for consumers less accustomed to cannabis’ psychoactive effects."
Elephant,"Earthy, Sweet, Tropical",sativa,"Relaxed, Happy, Creative, Energetic, Focused, Sleepy, Euphoric, Aroused",,"Eye Pressure, Spasticity",4.0,"Elephant is an old school bud with a lineage lost to time. This strain supposedly acquired its name for the elephant-sized colas it creates during its flowering cycle. The chunky flowers express a sweet and sour aroma that is reminiscent of candy and citrus while also retaining a subtle spiciness. Elephant has a strong cerebral buzz that immediately strikes the head and settles behind the eyes. It’ll also get you talking and stimulate your creative side. Enjoy Elephant throughout the day to ignite appetite, spark creativity, and enhance all manner of physical activity. "
Elphinstone,"Citrus, Pine, Pungent, Sweet, Skunk, Tropical",sativa,"Relaxed, Happy, Creative, Focused, Uplifted, Talkative, Energetic",Dry Mouth,Stress,4.5,"Elphinstone is a sativa-dominant strain that combines stimulating genetics and pungent terpenes. This strain is a cross of Sweet Skunk and Appalachia. This pungent pairing imbues the consumer with a giggly, uplifted mental state juxtaposed with mildly focused and relaxing physical effects. The flavors are a mixture of skunk and sweet 7-Up-like notes. "
Elvis,"Sweet, Citrus, Skunk, Earthy, Flowery",hybrid,"Relaxed, Creative, Talkative, Uplifted, Euphoric, Sleepy","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Fatigue",4.6,"Elvis is a hybrid creation by Seedism that crosses AK-47 with a sativa-dominant phenotype of Skunk #1, known as The Pure. Its flavors are a sweet, earthy mix of skunky musk with an added spice from AK-47 that amplifies the complexity of the flavor profile. Elvis produces a burst of cerebral activity that provides a spark of creative juice and a mellow, relaxing body effect that calms anxieties."
Enigma,"Citrus, Pungent, Earthy, Flowery",indica,"Relaxed, Hungry, Happy, Creative, Giggly, Sleepy, Euphoric","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Nausea, Inflammation",4.6,"The indica-dominant Enigma strain is as mysterious as its name makes it sound; not much is known about its origins, but Enigma is a long-lasting euphoric strain with earthy and tangy flavors. The natural progression of its effects begins with carefree happiness and ends in a sleepy haze. Enigma is a great strain for patients experiencing appetite loss and/or cachexia."
Erez,"Berry, Blueberry, Blue Cheese, Flowery",indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy, Tingly",Dry Mouth,"Depression, Insomnia, Pain, Stress, Inflammation",4.3,"Erez, a best-selling cannabis variety in Israel, is an indica-dominant strain developed by the company Tikun Olam and is named after their first patient. Although bred for treating sleep disorders, this strain’s 70% indica blend also effectively wards off pain, nausea, inflammation, and indigestion."
Everlast,"Earthy, Skunk, Flowery",indica,"Relaxed, Euphoric, Happy, Tingly, Sleepy",Dry Mouth,"Depression, Insomnia, Pain, Stress, Inflammation",4.6,"Everlast from Machias, Washington is an 80/20 indica-dominant strain that induces deeply relaxing effects with a hashy, skunky aroma. With a THC content that can tower as high as 28%, Everlast is best chosen by experienced, seasoned consumers. It gets its name from the long-lasting euphoria that leaves your body suspended in tingling tranquility while the mind floats to active, happy escapes. Its heavy, body-focused effects are recommended for patients treating stubborn pain or sleeplessness."
Ewok,"Earthy, Woody, Citrus, Pungent",hybrid,"Relaxed, Euphoric, Happy, Sleepy, Creative, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Insomnia, Pain, Stress, Nausea, Headache, Muscle Spasms",4.6,"Ewok, a cross between Albert Walker and Tahoe Alien, was the Hybrid winner of the 2013 Seattle High Times Cannabis Cup. Bred by Alien Genetics, Ewok is a fast-growing plant with a short vegetative cycle, but produces large yields of frost-covered buds as hairy as the Star Wars Ewoks themselves. Pungent fruity notes of tangerine and lemon introduce Ewok’s strong cerebrally-focused effects that promote relaxation and stress relief. The full-body sedation to follow makes this strain a viable option for treatment of pain and insomnia as well. "
Flo,"Earthy, Pine, Sweet, Flowery",hybrid,"Relaxed, Happy, Creative, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Headache, Fatigue",4.2,"This #1 rated Cannabis Cup winner of 1996 is the love child of Purple Thai and an Afghani Indica, bred by Dutch Passion and later propagated by DJ Short. The plant is described as having pear-shaped buds with purple calyxes. Flo can potentially be harvested multiple times, creating a 'flo' of buds. The effects are characterized as light and energetic, allowing for clarity of thought. "
Frankenstein,"Earthy, Skunk, Citrus, Lavender, Tobacco",indica,"Relaxed, Euphoric, Happy, Talkative, Sleepy, Tingly",Dry Mouth,"Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",4.4,"Frankenstein is an 80% indica strain whose parents are unknown. Its potency is a talking point among patients and veteran consumers alike, who cherish this indica’s ability to push past the ceiling of their tolerance."
Freezeland,"Sweet, Orange, Pine, Woody, Earthy",indica,"Relaxed, Happy, Sleepy, Giggly, Focused, Talkative","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Stress, Lack of Appetite, Headache, Fatigue",3.6,"A celebrity cannabis strain in Quebec, Freezeland is an indica cross between Pluton and Friesland. These lavender-tipped buds have a fruity citrus flavor with pine undertones and potent full-body indica effects. Chronic pain and insomnia are the most common symptoms treated with this strain, and anyone looking for relaxation or rest will find it in Freezeland. Outdoor gardens will grow impressive harvests after an 8 week flowering period, an operation suitable for novice and expert growers alike."
Frida,"Lemon, Citrus, Sweet, Earthy, Pine",indica,"Relaxed, Happy, Creative, Uplifted, Sleepy, Aroused",Anxious,"Insomnia, Pain, Stress, Fatigue, Inflammation",4.9,"With the dense, full flavor of her indica parentage and over 12% CBD from an ACDC mother, Frida is a complex and enchanting strain that provides relief for mind and body while fueling inspiration, sensuality, appetite, and meditation. Named in celebration of “The Heroine of Pain,” Frida by Raven Grass reminds the consumer to reach further, encouraging physical wellness without encumbering you with sedation. Enjoy Frida’s therapeutic effects as a panacea for hangovers, chronic pain, anxiety, and depression. This high-CBD indica-dominant hybrid is a beautiful stone-alone strain, but is also an excellent addition to cannabis blends.    "
Frostbite,"Earthy, Skunk, Berry",sativa,"Relaxed, Happy, Uplifted, Sleepy, Focused, Tingly","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",4.3,"Frostbite is a mostly sativa strain whose trichome-covered flowers look as if they should be frosty to the touch. The strain’s aroma is warmer, evoking earthy and spicy, tea-like notes. These plants do best when grown indoors, flowering at 8 to 9 weeks and producing heavy yields."
Fruitylicious,"Blueberry, Sweet, Berry, Minty",indica,"Relaxed, Euphoric, Happy, Uplifted, Aroused","Dizzy, Dry Mouth","Depression, Insomnia, Pain, Stress, Eye Pressure",4.0,"Fruitylicious is an indica-dominant hybrid bred by Mandala Seeds. Its fruit flavors are passed down from its parent strains, Blueberry and Very Berry Hashberry, and mix with subtle notes of hazelnut and pine. The effects of Fruitylicious are happy and uplifting with a burst of euphoria that helps keep a smile on your face during outdoor activities and creative endeavors. "
Funfetti,"Earthy, Sweet, Flowery, Berry, Woody",hybrid,"Hungry, Happy, Energetic, Uplifted, Giggly, Relaxed, Euphoric","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Muscle Spasms",4.8,"Funfetti is a 60/40 indica-dominant hybrid that crosses Cherry Pie with a select phenotype of Animal Cookies, nicknamed Secret Cookies. This strain was originally bred in Northern California by a group of breeders know as Bay Exclusives and was released in limited quantities. Funfetti expresses itself in dark shades of purple and blue that contrast the bright orange pistils and milky trichomes covering all available surface area of the bud. It carries a piney OG undertone to go along with its sweet creamy flavor that is reminiscent of fresh baked birthday cake. "
Future,"Pine, Earthy, Ammonia, Diesel, Citrus",hybrid,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Inflammation",4.8,"Future by Exotic Genetix is a strain of cannabis crafted in the present, but sent from the future. This potent cross of Gorilla Glue #4 and Starfighter F2 delivers immediate euphoria that elevates the mind and relaxes the body. The strength of this strain has been known to dole out anxiety in novice consumers, so mind your dosage. But overall, Future is a wonderfully potent hybrid cross with aromas of chemical and chocolate with a light, earthy sweetness. Utilize this strain throughout the day to curb nausea and depression. "
Gelato,"Sweet, Pungent, Berry, Flowery",hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",4.7,"Gelato (also referred to as 'Larry Bird') is another tantalizing hybrid cannabis strain from Cookie Fam Genetics, following in the footsteps of its parents Sunset Sherbet and Thin Mint Girl Scout Cookies. This Bay Area, California native gets its name from the fruity, dessert-like aroma, a common genetic thread among the Cookie family. Her buds tend to bloom in dark purple hues illuminated by fiery orange hairs and a shining white coat of crystal resin. Novice consumers may want to approach this THC powerhouse with caution, but those armed with a high tolerance will delight in Gelato’s heavy-handed euphoria. Physical relaxation comes on strong, but many find themselves still mentally agile enough to stay productive and creative when enjoying Gelato during the day."
