,name,flavors,id,race,positive,negative,medical
452,Cherry Sherbet,"Sweet, Diesel, Pungent",536,hybrid,"Relaxed, Hungry, Sleepy, Giggly",Dry Mouth,"Depression, Pain, Stress, Cramps, Lack of Appetite"
453,Cherry Skunk,"Sweet, Berry, Skunk",537,hybrid,"Relaxed, Euphoric, Creative, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headaches"
454,Cherry Thunder Fuck,"Earthy, Berry, Pungent",538,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Aroused",,"Depression, Pain, Stress, Fatigue, Muscle Spasms"
455,Chiesel,"Cheese, Diesel, Pungent",539,hybrid,"Relaxed, Happy, Creative, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Fatigue, Headaches"
456,China Yunnan,"Earthy, Cheese, Sweet",540,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Headaches"
457,Chiquita Banana,"Sweet, Orange, Citrus",541,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Muscle Spasms"
458,Chloe,"Sweet, Earthy, Spicy/Herbal",542,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted",Dry Eyes,"Depression, Insomnia, Pain, Inflammation, Muscle Spasms"
459,Chocolate Chunk,"Earthy, Sweet, Woody",544,indica,"Relaxed, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Fatigue"
460,Chocolate Diesel,"Diesel, Nutty, Pine",545,sativa,"Euphoric, Happy, Creative, Energetic, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Fatigue"
461,Chocolate Drop,"Earthy, Vanilla",546,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Giggly",,"Depression, Stress"
462,Chocolate Fondue,"Cheese, Earthy, Sweet",547,sativa,"Euphoric, Happy, Creative, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Stress, Lack of Appetite, Nausea, Fatigue"
463,Chocolate Hashberry,"Berry, Sweet, Earthy",548,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
464,Chocolate Kush,"Earthy, Coffee, Tea",549,indica,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Headaches"
465,Chocolate OG,"Sweet, Earthy, Pungent",551,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy",,"Depression, Pain, Stress, Headaches, Inflammation"
466,Chocolate Thai,"Spicy/Herbal, Earthy, Woody",552,sativa,"Relaxed, Happy, Creative, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea"
467,Chocolate Thunder,"Honey, Nutty, Apricot",553,sativa,"Happy, Creative, Energetic, Uplifted, Focused","Dry Mouth, Paranoid","Depression, Stress, Fatigue, Headaches, Inflammation"
468,Chocolope,"Coffee, Earthy, Sweet",555,sativa,"Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Muscle Spasms"
469,Chocolope Kush,"Earthy, Pungent, Pine",556,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms"
470,Chong Star,"Earthy, Honey, Flowery",557,hybrid,"Relaxed, Happy, Creative, Uplifted, Focused",,"Depression, Pain, Stress, Nausea, Headaches"
471,Chronic,"Skunk, Woody, Pungent",558,hybrid,"Happy, Energetic, Talkative, Uplifted, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite"
472,Chronic Thunder,"Diesel, Pungent, Earthy",559,indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dry Mouth, Paranoid, Dry Eyes, Anxious","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms"
473,Chucky's Bride,"Ammonia, Butter, Cheese",560,hybrid,"Happy, Creative, Giggly, Aroused",Dry Mouth,"Depression, Insomnia, Pain, Stress"
474,Chunky Diesel,"Diesel, Earthy, Pungent",561,hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted",,"Depression, Pain, Stress, Fatigue, Inflammation"
475,Chupacabra,"Earthy, Vanilla, Nutty",562,hybrid,"Relaxed, Happy, Energetic, Uplifted, Focused",,"Depression, Pain, Stress, Nausea, Headaches"
476,Church OG,"Earthy, Woody, Spicy/Herbal",563,indica,"Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Insomnia, Pain, Stress, Fatigue, Spasticity"
477,Cinderella 99,"Sweet, Citrus, Pungent",564,hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches"
478,Cinderella's Dream,"Sweet, Berry, Tropical",565,hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Fatigue"
479,Cindy White,"Earthy, Pungent, Berry",566,hybrid,"Euphoric, Happy, Creative, Energetic, Uplifted",Dry Mouth,"Depression, Insomnia, Pain, Stress, Headache, Fatigue"
480,Cinex,"Citrus, Earthy, Sweet",567,sativa,"Euphoric, Happy, Energetic, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Fatigue, Headaches"
481,Cirrus,"Diesel, Menthol, Pungent",568,sativa,"Euphoric, Creative, Talkative, Giggly",Dry Mouth,"Depression, Nausea, Fatigue, Headaches, Inflammation"
482,Citrix,"Citrus, Grapefruit, Orange",569,hybrid,"Euphoric, Happy, Energetic, Uplifted, Aroused","Dry Mouth, Paranoid, Anxious","Depression, Stress, Lack of Appetite, Nausea, Fatigue"
483,Citrus Kush,"Citrus, Lemon, Sweet",570,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Tingly","Dry Mouth, Paranoid, Dry Eyes, Anxious","Pain, Stress, Lack of Appetite, Nausea, Headache, Fatigue"
484,Citrus Punch,"Citrus, Orange, Mango",571,sativa,"Happy, Energetic, Focused","Dizzy, Dry Mouth, Anxious","Depression, Fatigue"
485,Citrus Sap,"Citrus, Orange, Pungent",572,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Headaches, Inflammation"
486,Citrus Sunshine Haze,"Citrus, Orange, Lemon",573,hybrid,"Happy, Creative, Energetic, Uplifted, Focused",Dry Mouth,"Depression, Pain, Stress, Fatigue, Headaches"
487,Clementine,"Citrus, Orange, Sweet",574,sativa,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches"
488,Clementine Kush,"Citrus, Earthy, Flowery",575,hybrid,"Relaxed, Euphoric, Happy, Tingly, Giggly","Dizzy, Paranoid, Anxious","Depression, Insomnia, Stress, Lack of Appetite, Inflammation"
489,Clockwork Orange,"Citrus, Lemon, Orange",576,hybrid,"Relaxed, Hungry, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite"
490,Cloud 9,"Flowery, Pine, Rose",577,hybrid,"Relaxed, Happy, Energetic, Talkative, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache"
491,Club 69,"Diesel, Earthy, Flowery",578,indica,"Relaxed, Sleepy",,"Pain, Stress"
492,Cluster Bomb,Sweet,579,hybrid,"Relaxed, Euphoric, Energetic, Focused",Dizzy,"Stress, Headaches"
493,Cold Creek Kush,"Earthy, Woody, Pine",580,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Tingly","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
494,Colombian Gold,"Earthy, Pungent, Citrus",581,sativa,"Euphoric, Happy, Energetic, Talkative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
495,Colombian Mojito,"Citrus, Lime, Minty",582,sativa,"Euphoric, Creative, Energetic, Aroused",Anxious,"Pain, Nausea, Headaches"
496,Colorado Bubba,"Mango, Pineapple, Nutty",583,indica,"Relaxed, Happy, Uplifted, Sleepy",Dry Mouth,"Depression, Pain, Stress, Lack of Appetite, Muscle Spasms"
497,Colorado Chem,"Skunk, Sweet, Citrus",584,hybrid,"Relaxed, Euphoric, Happy, Energetic, Giggly",Dry Mouth,"Depression, Insomnia, Pain, Stress, Headaches"
498,Colorado Clementines,"Citrus, Lemon, Orange",585,indica,"Relaxed, Hungry, Euphoric, Creative, Sleepy",,"Depression, Insomnia, Pain, Stress, Lack of Appetite"
499,Commerce City Kush,"Diesel, Earthy, Pungent",586,indica,"Relaxed, Hungry, Euphoric, Happy, Creative",,"Insomnia, Pain, Stress, Lack of Appetite, Headaches"
500,Concord Grape Blockhead,"Grape, Sweet",587,hybrid,"Euphoric, Creative, Giggly","Dry Mouth, Dry Eyes","Depression, Insomnia, Cramps, Lack of Appetite, Muscle Spasms"
501,Confidential Cheese,"Cheese, Pine, Nutty",588,indica,"Relaxed, Hungry, Happy, Creative, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headaches"
502,Connie Chung,"Earthy, Pine, Sweet",590,hybrid,"Relaxed, Euphoric, Happy, Sleepy, Focused","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite"
503,Conspiracy Kush,"Sweet, Earthy, Pungent",591,indica,"Relaxed, Euphoric, Happy, Creative","Dizzy, Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Headaches, Inflammation"
504,Cookie Breath,"Earthy, Sweet, Minty",592,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Giggly",,"Depression, Pain, Stress, Fatigue, Inflammation"
505,Cookie Dough,"Earthy, Sweet, Pungent",593,hybrid,"Relaxed, Happy, Uplifted, Focused",Dry Eyes,"Depression, Pain, Stress, Lack of Appetite, Headaches"
506,Cookie Jar,"Pungent, Earthy, Flowery",594,hybrid,"Relaxed, Hungry, Euphoric, Uplifted, Sleepy",,"Depression, Pain, Stress, Lack of Appetite, Headaches"
507,Cookie Monster,"Flowery, Sweet, Earthy",595,indica,"Relaxed, Euphoric, Happy, Creative, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Insomnia, Pain, Stress, Headache, Eye Pressure, Spasticity"
508,Cookie Wreck,"Sweet, Earthy, Woody",596,hybrid,"Relaxed, Euphoric, Happy, Creative, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Headache, Muscle Spasms"
509,Cookies Kush,"Sweet, Pungent, Earthy",597,indica,"Relaxed, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
510,Cookies and Cream,"Sweet, Vanilla, Nutty",598,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Nausea"
511,Cookies and Dream,"Sweet, Tree Fruit, Blueberry",599,hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted",,"Pain, Stress, Lack of Appetite, Fatigue, Headaches"
512,Copper Kush,"Earthy, Pine, Pungent",600,indica,"Relaxed, Euphoric, Happy, Uplifted, Focused",Dizzy,"Depression, Pain, Stress, Cramps, Headaches"
513,Corleone Kush,"Skunk, Earthy, Spicy/Herbal",601,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Spasticity, Muscle Spasms"
514,Cornbread,"Lemon, Citrus, Earthy",602,indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite"
515,Cosmic Collision,"Sweet, Earthy, Minty",603,sativa,"Euphoric, Happy, Energetic, Talkative, Uplifted",,
516,Cotton Candy Kush,"Sweet, Flowery, Berry",604,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Fatigue"
517,Cotton Purple Chem,"Sweet, Earthy, Berry",605,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted",,"Depression, Stress, Fatigue, Headaches, Muscle Spasms"
518,Cracker Jack,"Sweet, Earthy, Woody",606,sativa,"Creative, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches"
519,Crater Lake,"Citrus, Pine, Pungent",607,hybrid,"Relaxed, Euphoric, Happy, Talkative, Uplifted",Dry Mouth,"Depression, Pain, Stress, Fatigue, Eye Pressure"
520,Crazy Miss Hyde,"Sweet, Vanilla, Butter",608,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted",,"Depression, Pain, Nausea, Eye Pressure, Inflammation"
521,Cream Caramel,"Sweet, Earthy, Honey",609,indica,"Relaxed, Euphoric, Happy, Sleepy, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
522,Crimea Blue,"Blueberry, Pine, Pungent",610,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth","Depression, Insomnia, Pain, Stress, Eye Pressure"
523,Critical 47,"Honey, Skunk, Pungent",611,hybrid,"Relaxed, Happy, Creative, Sleepy, Giggly","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Cramps, Inflammation"
524,Critical Bilbo,"Tobacco, Cheese, Pepper",612,hybrid,"Relaxed, Euphoric, Happy, Talkative","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Stress, Inflammation, Spasticity"
525,Critical Cheese,"Cheese, Pungent, Earthy",613,hybrid,"Hungry, Euphoric, Creative, Uplifted, Focused",Dry Mouth,"Depression, Pain, Stress, Fatigue, Headaches"
526,Critical Haze,"Citrus, Spicy/Herbal, Earthy",614,hybrid,"Relaxed, Happy, Uplifted, Aroused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
527,Critical Hog,"Earthy, Pungent, Flowery",615,indica,"Relaxed, Hungry, Happy, Uplifted","Dizzy, Dry Mouth","Depression, Insomnia, Pain, Stress, Lack of Appetite"
528,Critical Jack,"Citrus, Lemon, Pine",616,hybrid,"Relaxed, Euphoric, Happy, Creative, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
529,Critical Kali Mist,"Pine, Sweet, Earthy",617,sativa,"Euphoric, Happy, Creative, Uplifted, Focused","Dizzy, Dry Mouth","Depression, Stress, Fatigue, Inflammation, Muscle Spasms"
530,Critical Kush,"Earthy, Pungent, Woody",618,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite"
531,Critical Mass,"Earthy, Sweet, Pungent",619,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Inflammation"
532,Critical Plus,"Pungent, Woody, Pine",620,hybrid,"Relaxed, Euphoric, Happy, Creative, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Stress, Nausea, Headache, Headaches"
533,Critical Plus 2.0,"Skunk, Lemon, Pungent",621,indica,"Relaxed, Euphoric, Uplifted, Tingly, Giggly",,Fatigue
534,Critical Sensi Star,"Sweet, Tree Fruit, Citrus",622,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Cramps, Muscle Spasms"
535,Critical Widow,"Citrus, Sweet, Pungent",624,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Focused",Dizzy,"Depression, Pain, Stress, Cramps, Inflammation"
536,Critters Cookies,"Earthy, Lemon, Pungent",625,hybrid,"Relaxed, Happy, Uplifted, Giggly",Dry Mouth,"Depression, Pain, Stress"
537,Crosswalker,"Blueberry, Pine, Earthy",627,indica,"Relaxed, Euphoric, Happy, Uplifted",Dry Eyes,"Depression, Pain, Nausea, Eye Pressure, Inflammation"
538,Crouching Tiger Hidden Alien,"Pine, Earthy, Spicy/Herbal",628,indica,"Relaxed, Euphoric, Happy, Creative, Sleepy",Dry Mouth,"Pain, Stress, Nausea, Inflammation, Muscle Spasms"
539,Crown OG,"Diesel, Chemical, Pepper",629,indica,"Relaxed, Hungry, Euphoric, Happy, Tingly",,"Depression, Insomnia, Pain, Stress, Lack of Appetite"
540,Crown Royale,"Sweet, Pungent, Flowery",630,indica,"Relaxed, Euphoric, Happy, Focused, Aroused",Dry Mouth,"Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms"
541,Crunch Berry Kush,"Berry, Sweet, Lemon",631,hybrid,"Relaxed, Euphoric, Happy, Focused",Dry Mouth,"Depression, Insomnia, Stress, Lack of Appetite, Nausea"
542,Crypt,"Sweet, Cheese, Lemon",632,hybrid,"Relaxed, Euphoric, Happy, Focused, Giggly","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Fatigue, Headaches"
543,Crystal Coma,"Earthy, Citrus, Sweet",633,sativa,"Euphoric, Happy, Creative, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headaches"
544,Crystal Gayle,"Earthy, Diesel, Skunk",634,hybrid,"Hungry, Euphoric, Happy, Creative, Focused",Dry Mouth,Muscle Spasms
545,Crystalberry,"Sweet, Berry, Blueberry",635,indica,"Relaxed, Hungry, Sleepy, Giggly, Aroused",Dry Eyes,"Insomnia, Pain, Stress, Nausea, Headaches"
546,Cuvee,"Citrus, Flowery, Sweet",636,indica,"Relaxed, Euphoric, Happy, Creative, Uplifted",Anxious,"Depression, Pain, Stress, Cramps, Headaches"
547,DJ Short Blueberry,"Blueberry, Sweet, Berry",638,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
548,DJ Smoke,"Sweet, Lavender, Pungent",639,hybrid,"Relaxed, Euphoric, Focused","Dry Mouth, Dry Eyes",
549,Dairy Queen,"Cheese, Sweet, Berry",640,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Headache, Fatigue"
550,Dakini  Kush,"Coffee, Berry, Earthy",641,indica,"Relaxed, Euphoric, Happy, Sleepy",Dry Mouth,"Depression, Insomnia, Pain, Stress, Eye Pressure"
551,Damn Sour,"Earthy, Sweet, Citrus",642,sativa,"Hungry, Euphoric, Happy, Creative, Energetic",,"Depression, Pain, Cramps, Nausea, Headaches"
552,Damnesia,"Pepper, Spicy/Herbal, Earthy",643,hybrid,"Relaxed, Happy, Energetic, Talkative, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Fatigue"
553,Dance World,"Flowery, Pungent, Citrus",644,sativa,"Relaxed, Happy, Energetic, Talkative, Uplifted",Dry Mouth,"Depression, Pain, Stress, Lack of Appetite, Inflammation"
554,Dancehall,"Earthy, Sweet, Spicy/Herbal",645,hybrid,"Relaxed, Happy, Creative, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Cramps, Inflammation"
555,Dank Schrader,"Tropical, Pine, Earthy",646,indica,"Relaxed, Hungry, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headache, Inflammation"
556,Dank Sinatra,"Berry, Blue Cheese, Diesel",647,hybrid,"Relaxed, Euphoric, Happy, Sleepy, Focused",,"Depression, Fatigue"
557,Danky Doodle,"Honey, Pungent, Skunk",648,indica,"Relaxed, Euphoric, Happy, Talkative, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache"
558,Dark Blue Dream,"Sweet, Berry, Earthy",649,hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted",,"Depression, Stress, Lack of Appetite, Fatigue, Headaches"
559,Dark Side of the Moon,"Earthy, Berry, Spicy/Herbal",650,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Headaches"
560,Dark Star,"Earthy, Woody, Pine",651,indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches"
561,Darkside OG,"Earthy, Sweet, Lemon",652,indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dry Mouth, Dry Eyes","Insomnia, Pain, Fatigue, Eye Pressure, Muscle Spasms"
562,Darth Vader OG,"Grape, Earthy, Pungent",653,indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Inflammation"
563,Dawg's Waltz,"Skunk, Earthy, Sweet",654,hybrid,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Fatigue, Muscle Spasms"
564,Dawgfather OG,"Chemical, Pepper, Pungent",655,hybrid,"Relaxed, Sleepy",,"Insomnia, Pain"
565,Day Tripper,"Butter, Citrus, Earthy",656,hybrid,"Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth","Insomnia, Pain, Nausea, Fatigue, Muscle Spasms"
566,Deadhead OG,"Earthy, Pungent, Diesel",657,hybrid,"Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headache, Fatigue"
567,Deadwood,"Berry, Earthy, Lavender",658,indica,"Relaxed, Creative, Sleepy, Focused",Dry Mouth,"Pain, Stress, Muscle Spasms"
568,Death Bubba,"Pungent, Earthy, Sweet",659,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
569,Death Star,"Earthy, Diesel, Pungent",660,indica,"Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Muscle Spasms"
570,Death Star OG,"Earthy, Sweet, Pungent",661,indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite"
571,Deep Cheese,"Cheese, Pungent, Skunk",662,hybrid,"Relaxed, Happy, Uplifted, Sleepy, Focused","Dry Mouth, Paranoid, Dry Eyes","Cramps, Lack of Appetite, Nausea, Fatigue"
572,Deep Chunk,"Earthy, Plum, Ammonia",663,indica,"Relaxed, Euphoric, Happy, Creative, Sleepy",Dry Mouth,"Insomnia, Pain, Stress, Fatigue, Eye Pressure"
573,Deep Purple,"Grape, Earthy, Ammonia",664,indica,"Relaxed, Euphoric, Happy, Tingly, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headache, Inflammation"
574,Deep Sleep,"Sweet, Pungent, Diesel",665,indica,"Relaxed, Euphoric, Happy, Tingly, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Insomnia, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms"
575,DelaHaze,"Citrus, Lemon, Mango",666,sativa,"Euphoric, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Fatigue, Inflammation"
576,Denver Maple,"Sweet, Earthy, Pine",667,indica,"Relaxed, Happy, Uplifted, Sleepy, Giggly",Dry Eyes,"Depression, Stress, Cramps, Headaches, Eye Pressure"
577,Desert Star,Earthy,668,hybrid,"Hungry, Creative, Tingly, Sleepy",Dry Mouth,"Depression, Pain, Stress, Nausea, Spasticity"
578,Destroyer,"Lavender, Flowery, Sweet",669,sativa,"Euphoric, Happy, Energetic, Uplifted, Giggly",,"Depression, Insomnia, Stress, Cramps, Fatigue"
579,Devil Fruit,"Pepper, Woody, Spicy/Herbal",670,indica,"Relaxed, Euphoric, Happy, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Spasticity"
580,Devil's Tit,"Nutty, Pepper, Pine",671,sativa,"Relaxed, Euphoric, Creative, Energetic, Focused","Paranoid, Anxious","Depression, Lack of Appetite, Fatigue, Headaches, Inflammation"
581,Diablo,"Earthy, Spicy/Herbal, Pungent",672,indica,"Relaxed, Euphoric, Happy, Tingly, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache"
582,Diamond OG,"Pine, Woody, Sweet",673,indica,"Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
583,Diamond Valley Kush,"Earthy, Spicy/Herbal, Pungent",675,hybrid,"Relaxed, Happy, Creative, Energetic, Focused",Anxious,"Depression, Stress, Cramps, Fatigue, Eye Pressure"
584,Diesel Duff,"Flowery, Honey, Skunk",676,hybrid,"Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Headaches, Muscle Spasms"
585,Dieseltonic,"Diesel, Earthy, Woody",677,hybrid,"Relaxed, Sleepy, Focused, Giggly","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Headaches, Inflammation"
586,Digweed,"Earthy, Skunk, Pungent",678,indica,"Relaxed, Happy, Creative, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Cramps, Inflammation"
587,Dinachem,"Diesel, Pungent, Tropical",679,hybrid,"Relaxed, Euphoric, Energetic, Talkative, Uplifted",,"Depression, Stress"
588,Dirty Girl,"Sweet, Flowery, Pine",680,sativa,"Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Eye Pressure"
589,Dirty Widow,"Sweet, Earthy, Pungent",682,hybrid,"Hungry, Euphoric, Energetic, Uplifted","Dry Mouth, Dry Eyes","Depression, Stress, Lack of Appetite, Fatigue"
